RYC HVT152G,[]
GE CR151B6,"['https://www.amazon.com/General-Electric-CR151B6-Terminal-6-Points/dp/B00RW7FQBM', 'https://www.gexpro.com/usg/Root-Category/Connectors%2C-Crimps%2C-Termination/Distribution-%26-Terminal-Blocks/Terminal-Blocks-%26-Strips/Terminal-Strips/ABB-CR151B6-Terminal-Block%2C-6pnts/p/78890', 'https://www.rexelusa.com/p/883247/ge-terminal-block-6-pole-shorting-without-cover-18-10-awg-iku6s', 'https://www.reynoldsonline.com/2288569/Product/GE_Industrial_Solutions_CR151B6']"
PVC 012CPLG,['https://www.amazon.com/PVC-CHARLOTTE-MfrPartNo-04005-0200/dp/B003OSFI7U']
PHL PLT42W/41/4P/ALTO,"['https://www.bulbs.com/product/PL-T-42W-41-4P-ALTO-4-PIN', 'https://www.lighting.philips.ca/prof/conventional-lamps-and-tubes/compact-fluorescent-non-integrated/pl-t/pl-t-triple-4-pin-base/927911484120_NA/product', 'https://www.lightingsupply.com/philips-pl-t42w-841-4p-a-alto.aspx', 'https://www.ebay.com/itm/20x-Philips-PL-T-42W-835-XEW-Alto-33W-4-Pin-Fluorescent-Lamp-Bulb-3500K-GX24q-4/132908802595', 'https://www.codale.com/product/productsearch/751?idDesc=PL-T+4-Pin+CFL+Lamps&sortOrder=Default']"
EVR 1259,[]
THE TP494,['https://www.amazon.com/Hubbell-Raco-907C-Duplex-Receptacles-Exposed/dp/B005JC6PLW']
TVA WTF-53,[]
MAD L32,[]
MAD L31,"['https://www.elliottelectric.com/P/Item/BRI/250RT2/', 'https://www.elliottelectric.com/P/Item/BRI/230DC2/', 'https://www.bptfittings.com/store/emt-conduit-fittings.html']"
MAD L131,"['https://www.elliottelectric.com/P/Item/BRI/235DC2/', 'https://www.elliottelectric.com/P/Item/BRI/230DC2/', 'https://www.bptfittings.com/store/connector-set-screw-zinc-die-cast-size-2-inch.html']"
MAD 1706,"['https://www.stateelectric.com/products/madison-electric-1706/', 'https://www.cesco.com/Madison-1706-Madison-1706-EMT-One-Hole-Strap-2-Inch-Steel-Bright-Electro-Plated-Zinc/p1939065']"
POM 5911B,"['https://www.amazon.com/POMONA-5911B-TEST-CLIP-1POSITION/dp/B00HKJQ2LU', 'https://www.amazon.com/Pomona-3782-24-02-MINIGRABBER-Banana-PLUG/dp/B005T62WII']"
TB 52171 1/2 3/4,"['https://www.amazon.com/Steel-City-52171-521711234E-Electrical/dp/B018K3B7WI', 'https://www.frommelectric.com/3074955/p/n/steel-city-521711234e', 'https://www.gordonelectricsupply.com/p/Stl-Cty-52171-1-2-3-4-E-30-4Sq-Box/5624566']"
BEL 85103,['https://www.ebay.com/itm/10-Belden-85240-3-Conductor-20-Gauge-Shielded-ETFE-Tefzel-Cable-3C-20AWG-/252904646801']
RAC 1012,"['https://www.gexpro.com/p/48153/hubbell-raco/conduit-locknut-3-steel/1012', 'https://www.tessco.com/product/conduit-locknut-3-steel-238412', 'https://www.alliedelec.com/raco-1012/71368475/', 'https://www.platt.com/platt-electric-supply/Locknuts-Steel/Hubbell-Raco/1012/product.aspx?zpid=418646']"
GE Q300T3QL,"['https://catalog.gecurrent.com/catalog/p/43703', 'https://www.bulbamerica.com/collections/double-ended-halogen']"
RYC 8BTV1CR,[]
